feature,importance
coordinates.deptcode_8,2.98295529482398e-05
coordinates.deptcode_82,2.8304168729106074e-05
coordinates.deptcode_18,2.7478993473846026e-05
coordinates.deptcode_52,2.7300328843989856e-05
coordinates.deptcode_2B,2.5750138258687376e-05
coordinates.deptcode_974,2.4834570336934022e-05
coordinates.deptcode_55,2.4213397048507144e-05
coordinates.deptcode_65,1.9585162740299155e-05
coordinates.deptcode_43,1.9174303628654547e-05
coordinates.deptcode_70,1.8483573240324833e-05
coordinates.deptcode_40,9.104747748398335e-06
coordinates.deptcode_53,4.340261704213675e-06
coordinates.deptcode_9,3.627337939356057e-06
coordinates.deptcode_48,1.9071711405439697e-06
coordinates.deptcode_23,1.9104772999649644e-07
coordinates.deptcode_973,0.0
