feature,importance
coordinates.deptcode_33,0.0013057253415860804
coordinates.deptcode_92,0.0010545979763974885
IsPUV,0.0010289046905113727
coordinates.deptcode_59,0.0010201288917497595
IsEHPA,0.0009710436885899988
coordinates.deptcode_77,0.0007761650611320603
coordinates.deptcode_85,0.0007439815793182365
coordinates.deptcode_93,0.0007232303773935898
coordinates.deptcode_21,0.0006134709606397861
type_principal_EHPA,0.0006071621986229741
coordinates.deptcode_17,0.0005869044931093882
coordinates.deptcode_68,0.0005327416304527947
coordinates.deptcode_78,0.00047911921447507064
coordinates.deptcode_6,0.000457514883615558
coordinates.deptcode_54,0.0004435634081384516
coordinates.deptcode_86,0.00044168538406668865
coordinates.deptcode_76,0.0004338700520991761
coordinates.deptcode_35,0.0004135650940646213
coordinates.deptcode_49,0.0003998012536529718
coordinates.deptcode_91,0.00037596658236481386
coordinates.deptcode_14,0.0003700227641363962
coordinates.deptcode_56,0.00034979222836946584
coordinates.deptcode_31,0.00031558744456982435
coordinates.deptcode_74,0.0002812037551826438
coordinates.deptcode_12,0.0002792080398140705
coordinates.deptcode_71,0.0002779339177331771
coordinates.deptcode_60,0.0002750855650586568
coordinates.deptcode_30,0.00027280285514330593
coordinates.deptcode_83,0.00026107736946022616
coordinates.deptcode_73,0.0002298970958260813
IsUHR,0.00022912776903334962
coordinates.deptcode_44,0.00022673268236311078
coordinates.deptcode_16,0.0002192679913357729
coordinates.deptcode_29,0.0001747299938800017
coordinates.deptcode_34,0.0001739652873432824
coordinates.deptcode_51,0.00016750369991864572
coordinates.deptcode_42,0.00016234417177987716
type_principal_Autre,0.00015957369606999872
coordinates.deptcode_81,0.0001561412706683937
coordinates.deptcode_57,0.00014353481009796355
coordinates.deptcode_22,0.00013937147917629305
coordinates.deptcode_63,0.00013537195001790437
coordinates.deptcode_10,0.00012052429733222565
coordinates.deptcode_3,0.0001129616573621137
coordinates.deptcode_1,0.00010902512131080658
coordinates.deptcode_66,0.00010248082368920228
coordinates.deptcode_27,9.773270348876871e-05
coordinates.deptcode_50,9.612619572475356e-05
coordinates.deptcode_47,9.516538300955859e-05
coordinates.deptcode_26,8.853337973941953e-05
coordinates.deptcode_39,8.618708302789117e-05
coordinates.deptcode_45,7.814859604375827e-05
coordinates.deptcode_41,7.759358324867895e-05
coordinates.deptcode_64,7.220865026019966e-05
coordinates.deptcode_72,6.862705237990156e-05
coordinates.deptcode_11,6.588179594364772e-05
coordinates.deptcode_37,5.9143578760399556e-05
coordinates.deptcode_7,5.645352001272291e-05
coordinates.deptcode_84,5.335651846048558e-05
coordinates.deptcode_88,5.170745564708797e-05
coordinates.deptcode_2,4.5508699490088944e-05
coordinates.deptcode_67,4.549665345041077e-05
IsACC_NUIT,4.520009837029843e-05
coordinates.deptcode_87,3.668351354143309e-05
coordinates.deptcode_61,3.667572643104535e-05
coordinates.deptcode_46,3.5019757087891664e-05
coordinates.deptcode_80,3.345645488409379e-05
coordinates.deptcode_971,3.202355840213119e-05
coordinates.deptcode_972,3.128656559538043e-05
coordinates.deptcode_24,2.5449567089926284e-05
coordinates.deptcode_32,2.5289699315200082e-05
coordinates.deptcode_25,2.4225999458703563e-05
coordinates.deptcode_15,2.4186717082572075e-05
coordinates.deptcode_79,1.9381531554519567e-05
coordinates.deptcode_36,1.8899924237794275e-05
coordinates.deptcode_65,1.8785063731684146e-05
coordinates.deptcode_55,1.6263389970575292e-05
coordinates.deptcode_40,1.4834437957682326e-05
coordinates.deptcode_28,1.4566924614469633e-05
coordinates.deptcode_2B,1.4221827787387039e-05
coordinates.deptcode_43,1.3802750062765817e-05
coordinates.deptcode_89,1.3121832273884952e-05
coordinates.deptcode_974,1.1811325804287872e-05
coordinates.deptcode_18,1.1506748916684754e-05
coordinates.deptcode_8,2.546351423905608e-06
coordinates.deptcode_58,1.6137749184293887e-06
coordinates.deptcode_23,1.012577868703329e-06
coordinates.deptcode_5,6.326397227360541e-07
coordinates.deptcode_48,3.961979316383905e-07
